Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
256,Entry long,2025-09-02 23:00,TF-L | IN:HYBRID,3527.6,1,3527.6,1.32,0.04,0,50.78,1.44,-17.17,-0.49,474.42,0.47,33
257,Exit short,2025-09-05 22:00,MR FAIL | IN:MR | OUT:MR,3591.87,1,3528.92,-62.95,-1.78,0,5.01,0.14,-69.08,-1.96,411.47,0.41,35
257,Entry short,2025-09-04 10:00,MR-S | IN:MR,3528.92,1,3528.92,-62.95,-1.78,0,5.01,0.14,-69.08,-1.96,411.47,0.41,35
258,Exit short,2025-09-11 17:00,MR TP1 | IN:HYBRID | OUT:HYBRID,3621.76,0.2,729.588,5.24,0.72,0,6.8,0.93,-5.37,-0.74,416.71,0.42,45
258,Entry short,2025-09-09 18:00,MR-S | IN:HYBRID,3647.94,0.2,729.588,5.24,0.72,0,6.8,0.93,-5.37,-0.74,416.71,0.42,45
259,Exit short,2025-09-12 09:00,RUN EXIT | IN:HYBRID | OUT:MR,3648.93,0.8,2918.352,-0.79,-0.03,0,28.18,0.97,-21.47,-0.74,415.92,0.42,60
259,Entry short,2025-09-09 18:00,MR-S | IN:HYBRID,3647.94,0.8,2918.352,-0.79,-0.03,0,28.18,0.97,-21.47,-0.74,415.92,0.42,60
260,Exit short,2025-09-15 20:00,MR FAIL | IN:MR | OUT:MR,3657.144,1,3633.27,-23.87,-0.66,0,7.12,0.20,-31.01,-0.85,392.04,0.39,13
260,Entry short,2025-09-15 07:00,MR-S | IN:MR,3633.27,1,3633.27,-23.87,-0.66,0,7.12,0.20,-31.01,-0.85,392.04,0.39,13
261,Exit short,2025-09-18 05:00,MR TP1 | IN:MR | OUT:HYBRID,3662.75,0.2,737.9382,5.39,0.73,0,8.79,1.19,-3.56,-0.48,397.43,0.40,28
261,Entry short,2025-09-16 23:00,MR-S | IN:MR,3689.691,0.2,737.9382,5.39,0.73,0,8.79,1.19,-3.56,-0.48,397.43,0.40,28
262,Exit short,2025-09-19 13:00,RUN EXIT | IN:MR | OUT:MR,3646.93,0.8,2951.7528,34.21,1.16,0,49.78,1.69,-14.22,-0.48,431.64,0.43,59
262,Entry short,2025-09-16 23:00,MR-S | IN:MR,3689.691,0.8,2951.7528,34.21,1.16,0,49.78,1.69,-14.22,-0.48,431.64,0.43,59
263,Exit short,2025-09-23 18:00,MR FAIL | IN:TREND | OUT:TREND,3783.235,1,3744.66,-38.58,-1.03,0,1.55,0.04,-46.42,-1.24,393.06,0.39,7
263,Entry short,2025-09-23 11:00,MR-S | IN:TREND,3744.66,1,3744.66,-38.58,-1.03,0,1.55,0.04,-46.42,-1.24,393.06,0.39,7
264,Exit short,2025-09-25 10:00,MR TP1 | IN:TREND | OUT:HYBRID,3736.49,0.2,754.77,7.47,0.99,0,11.3,1.50,-2.38,-0.32,400.54,0.40,35
264,Entry short,2025-09-23 21:00,MR-S | IN:TREND,3773.85,0.2,754.77,7.47,0.99,0,11.3,1.50,-2.38,-0.32,400.54,0.40,35
265,Exit short,2025-09-26 15:00,RUN EXIT | IN:TREND | OUT:MR,3752.85,0.8,3019.08,16.8,0.56,0,45.2,1.50,-9.53,-0.32,417.34,0.42,63
265,Entry short,2025-09-23 21:00,MR-S | IN:TREND,3773.85,0.8,3019.08,16.8,0.56,0,45.2,1.50,-9.53,-0.32,417.34,0.42,63
266,Exit short,2025-10-01 09:00,MR FAIL | IN:HYBRID | OUT:MR,3863.339,1,3816.23,-47.11,-1.23,0,23.36,0.61,-59.23,-1.55,370.23,0.37,17
266,Entry short,2025-09-30 15:00,MR-S | IN:HYBRID,3816.23,1,3816.23,-47.11,-1.23,0,23.36,0.61,-59.23,-1.55,370.23,0.37,17
267,Exit short,2025-10-03 10:00,MR TP1 | IN:MR | OUT:MR,3842.659,0.2,773.083,4.55,0.59,0,9.26,1.20,-6.32,-0.82,374.78,0.37,29
267,Entry short,2025-10-02 03:00,MR-S | IN:MR,3865.415,0.2,773.083,4.55,0.59,0,9.26,1.20,-6.32,-0.82,374.78,0.37,29
268,Exit short,2025-10-03 21:00,RUN EXIT | IN:MR | OUT:MR,3879.59,0.8,3092.332,-11.34,-0.37,0,37.06,1.20,-25.27,-0.82,363.44,0.36,40
268,Entry short,2025-10-02 03:00,MR-S | IN:MR,3865.415,0.8,3092.332,-11.34,-0.37,0,37.06,1.20,-25.27,-0.82,363.44,0.36,40
269,Exit short,2025-10-08 09:00,MR FAIL | IN:HYBRID | OUT:MR,4011.67,1,3975.908,-35.76,-0.90,0,35.22,0.89,-35.85,-0.90,327.68,0.33,21
269,Entry short,2025-10-07 11:00,MR-S | IN:HYBRID,3975.908,1,3975.908,-35.76,-0.90,0,35.22,0.89,-35.85,-0.90,327.68,0.33,21
270,Exit short,2025-10-10 09:00,MR TP1 | IN:MR | OUT:MR,3978.46,0.2,807.95,12.26,1.52,0,19.19,2.38,-3.65,-0.45,339.93,0.34,20
270,Entry short,2025-10-09 12:00,MR-S | IN:MR,4039.75,0.2,807.95,12.26,1.52,0,19.19,2.38,-3.65,-0.45,339.93,0.34,20
271,Exit short,2025-10-11 03:00,RUN EXIT | IN:MR | OUT:MR,4017.845,0.8,3231.8,17.52,0.54,0,76.77,2.38,-14.61,-0.45,357.46,0.36,38
271,Entry short,2025-10-09 12:00,MR-S | IN:MR,4039.75,0.8,3231.8,17.52,0.54,0,76.77,2.38,-14.61,-0.45,357.46,0.36,38
272,Exit short,2025-10-15 11:00,MR FAIL | IN:MR | OUT:MR,4179.7,1,4106.541,-73.16,-1.78,0,8.94,0.22,-84.3,-2.05,284.3,0.28,15
272,Entry short,2025-10-14 19:00,MR-S | IN:MR,4106.541,1,4106.541,-73.16,-1.78,0,8.94,0.22,-84.3,-2.05,284.3,0.28,15
273,Exit short,2025-10-20 14:00,MR TP1 | IN:TREND | OUT:HYBRID,4254.99,0.2,869.554,18.56,2.13,0,32.47,3.73,-0.11,-0.01,302.86,0.30,22
273,Entry short,2025-10-17 15:00,MR-S | IN:TREND,4347.77,0.2,869.554,18.56,2.13,0,32.47,3.73,-0.11,-0.01,302.86,0.30,22
274,Exit short,2025-10-21 00:00,RUN EXIT | IN:TREND | OUT:HYBRID,4347.359,0.8,3478.216,0.33,0.01,0,129.88,3.73,-6.21,-0.18,303.18,0.30,32
