Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
243,Entry long,2026-07-23 18:00,TF-L | IN:HYBRID,163.491,1,163.491,0.2,0.12,0,0.5,0.30,-0.03,-0.02,15.17,0.02,22
244,Exit short,2026-07-28 16:00,MR FAIL | IN:HYBRID | OUT:MR,163.878,1,163.69,-0.19,-0.11,0,0.36,0.22,-0.2,-0.12,14.98,0.01,48
244,Entry short,2026-07-24 16:00,MR-S | IN:HYBRID,163.69,1,163.69,-0.19,-0.11,0,0.36,0.22,-0.2,-0.12,14.98,0.01,48
245,Exit short,2026-07-29 12:00,MR TP1 | IN:MR | OUT:MR,163.495,0.2,32.7448,0.05,0.14,0,0.09,0.27,-0.01,-0.02,15.03,0.02,4
245,Entry short,2026-07-29 08:00,MR-S | IN:MR,163.724,0.2,32.7448,0.05,0.14,0,0.09,0.27,-0.01,-0.02,15.03,0.02,4
246,Exit short,2026-07-29 23:00,RUN EXIT | IN:MR | OUT:MR,163.896,0.8,130.9792,-0.14,-0.11,0,0.36,0.27,-0.15,-0.11,14.89,0.01,15
246,Entry short,2026-07-29 08:00,MR-S | IN:MR,163.724,0.8,130.9792,-0.14,-0.11,0,0.36,0.27,-0.15,-0.11,14.89,0.01,15
247,Exit long,2026-08-03 05:00,MR FAIL | IN:HYBRID | OUT:HYBRID,157.312,1,160.613,-3.3,-2.06,0,0.2,0.12,-3.62,-2.25,11.59,0.01,19
247,Entry long,2026-07-31 10:00,MR-L | IN:HYBRID,160.613,1,160.613,-3.3,-2.06,0,0.2,0.12,-3.62,-2.25,11.59,0.01,19
248,Exit short,2026-08-03 21:00,TF EXIT | IN:HYBRID | OUT:HYBRID,156.559,1,157.312,0.75,0.48,0,2.09,1.33,-0.57,-0.36,12.35,0.01,16
248,Entry short,2026-08-03 05:00,TF-S | IN:HYBRID,157.312,1,157.312,0.75,0.48,0,2.09,1.33,-0.57,-0.36,12.35,0.01,16
249,Exit long,2026-08-06 00:00,MR TP1 | IN:HYBRID | OUT:MR,157.69,0.2,31.3118,0.23,0.72,0,0.28,0.89,-0.0004,0.00,12.57,0.01,51
249,Entry long,2026-08-03 21:00,MR-L | IN:HYBRID,156.559,0.2,31.3118,0.23,0.72,0,0.28,0.89,-0.0004,0.00,12.57,0.01,51
250,Exit long,2026-08-07 19:00,RUN EXIT | IN:HYBRID | OUT:HYBRID,157.389,0.8,125.2472,0.66,0.53,0,1.61,1.29,-0.002,0.00,13.24,0.01,94
250,Entry long,2026-08-03 21:00,MR-L | IN:HYBRID,156.559,0.8,125.2472,0.66,0.53,0,1.61,1.29,-0.002,0.00,13.24,0.01,94
251,Exit short,2026-08-14 18:00,MR TP1 | IN:HYBRID | OUT:MR,159.112,0.2,31.8502,0.03,0.09,0,0.13,0.42,-0.06,-0.20,13.26,0.01,72
251,Entry short,2026-08-11 18:00,MR-S | IN:HYBRID,159.251,0.2,31.8502,0.03,0.09,0,0.13,0.42,-0.06,-0.20,13.26,0.01,72
252,Exit short,2026-08-17 21:00,RUN EXIT | IN:HYBRID | OUT:MR,159.287,0.8,127.4008,-0.03,-0.02,0,0.53,0.42,-0.25,-0.20,13.23,0.01,99
252,Entry short,2026-08-11 18:00,MR-S | IN:HYBRID,159.251,0.8,127.4008,-0.03,-0.02,0,0.53,0.42,-0.25,-0.20,13.23,0.01,99
253,Exit short,2026-08-19 17:00,MR TP1 | IN:MR | OUT:TREND,159.1,0.2,31.919,0.1,0.31,0,0.12,0.37,-0.003,-0.01,13.33,0.01,12
253,Entry short,2026-08-19 05:00,MR-S | IN:MR,159.595,0.2,31.919,0.1,0.31,0,0.12,0.37,-0.003,-0.01,13.33,0.01,12
254,Exit short,2026-08-20 15:00,RUN EXIT | IN:MR | OUT:MR,158.497,0.8,127.676,0.88,0.69,0,1.26,0.98,-0.01,-0.01,14.21,0.01,34
254,Entry short,2026-08-19 05:00,MR-S | IN:MR,159.595,0.8,127.676,0.88,0.69,0,1.26,0.98,-0.01,-0.01,14.21,0.01,34
255,Exit short,2026-08-26 16:00,MR TP1 | IN:MR | OUT:HYBRID,158.99,0.2,31.8394,0.04,0.13,0,0.06,0.20,-0.01,-0.04,14.25,0.01,12
255,Entry short,2026-08-26 04:00,MR-S | IN:MR,159.197,0.2,31.8394,0.04,0.13,0,0.06,0.20,-0.01,-0.04,14.25,0.01,12
256,Exit short,2026-08-26 23:00,RUN EXIT | IN:MR | OUT:MR,159.417,0.8,127.3576,-0.18,-0.14,0,0.25,0.20,-0.2,-0.16,14.08,0.01,19
256,Entry short,2026-08-26 04:00,MR-S | IN:MR,159.197,0.8,127.3576,-0.18,-0.14,0,0.25,0.20,-0.2,-0.16,14.08,0.01,19
257,Exit short,2026-08-28 09:00,MR FAIL | IN:MR | OUT:MR,159.441,1,159.316,-0.12,-0.08,0,0.02,0.01,-0.15,-0.10,13.95,0.01,3
