Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
10,Entry short,2024-02-09 00:00,MR-S | IN:MR,4990.2,1,4990.2,-23.6,-0.47,0,0.5,0.01,-35,-0.70,-23.26,-0.02,21
11,Exit short,2024-02-13 21:00,MR TP1 | IN:MR | OUT:MR,4952.7,0.2,1004.04,13.5,1.34,0,13.84,1.38,-0.9,-0.09,-9.76,-0.01,15
11,Entry short,2024-02-13 06:00,MR-S | IN:MR,5020.2,0.2,1004.04,13.5,1.34,0,13.84,1.38,-0.9,-0.09,-9.76,-0.01,15
12,Exit short,2024-02-14 18:00,RUN EXIT | IN:MR | OUT:MR,4979.1,0.8,4016.16,32.88,0.82,0,78.96,1.97,-3.6,-0.09,23.12,0.02,35
12,Entry short,2024-02-13 06:00,MR-S | IN:MR,5020.2,0.8,4016.16,32.88,0.82,0,78.96,1.97,-3.6,-0.09,23.12,0.02,35
13,Exit short,2024-02-19 20:00,MR TP1 | IN:TREND | OUT:MR,5011.3,0.2,1001.4,-0.86,-0.09,0,1.92,0.19,-6.34,-0.63,22.26,0.02,22
13,Entry short,2024-02-16 21:00,MR-S | IN:TREND,5007,0.2,1001.4,-0.86,-0.09,0,1.92,0.19,-6.34,-0.63,22.26,0.02,22
14,Exit short,2024-02-22 04:00,RUN EXIT | IN:TREND | OUT:MR,5006,0.8,4005.6,0.8,0.02,0,47.76,1.19,-25.36,-0.63,23.06,0.02,72
14,Entry short,2024-02-16 21:00,MR-S | IN:TREND,5007,0.8,4005.6,0.8,0.02,0,47.76,1.19,-25.36,-0.63,23.06,0.02,72
15,Exit short,2024-02-27 15:00,MR TP1 | IN:TREND | OUT:HYBRID,5069.1,0.2,1017,3.18,0.31,0,3.98,0.39,-5.4,-0.53,26.24,0.03,46
15,Entry short,2024-02-23 15:00,MR-S | IN:TREND,5085,0.2,1017,3.18,0.31,0,3.98,0.39,-5.4,-0.53,26.24,0.03,46
16,Exit short,2024-02-28 09:00,RUN EXIT | IN:TREND | OUT:MR,5081.9,0.8,4068,2.48,0.06,0,20.72,0.51,-21.6,-0.53,28.72,0.03,63
16,Entry short,2024-02-23 15:00,MR-S | IN:TREND,5085,0.8,4068,2.48,0.06,0,20.72,0.51,-21.6,-0.53,28.72,0.03,63
17,Exit long,2024-02-29 14:00,MR FAIL | IN:MR | OUT:MR,5066.6,1,5074.6,-8,-0.16,0,0,0.00,-9.1,-0.18,20.72,0.02,2
17,Entry long,2024-02-29 12:00,MR-L | IN:MR,5074.6,1,5074.6,-8,-0.16,0,0,0.00,-9.1,-0.18,20.72,0.02,2
18,Exit long,2024-03-01 01:00,MR TP1 | IN:MR | OUT:MR,5087.1,0.2,1018.78,-1.36,-0.13,0,0.5,0.05,-6.36,-0.62,19.36,0.02,4
18,Entry long,2024-02-29 21:00,MR-L | IN:MR,5093.9,0.2,1018.78,-1.36,-0.13,0,0.5,0.05,-6.36,-0.62,19.36,0.02,4
19,Exit long,2024-03-04 16:00,RUN EXIT | IN:MR | OUT:TREND,5134.5,0.8,4075.12,32.48,0.80,0,38.4,0.94,-25.44,-0.62,51.84,0.05,41
19,Entry long,2024-02-29 21:00,MR-L | IN:MR,5093.9,0.8,4075.12,32.48,0.80,0,38.4,0.94,-25.44,-0.62,51.84,0.05,41
20,Exit long,2024-03-07 21:00,MR TP1 | IN:MR | OUT:MR,5141.5,0.2,1020.78,7.52,0.74,0,7.96,0.78,-4.28,-0.42,59.36,0.06,25
