Trade number,Type,Date and time,Signal,Price CAD,Size (qty),Size (value),Net PnL CAD,Return %,Commission CAD,Favorable excursion CAD,Favorable excursion %,Adverse excursion CAD,Adverse excursion %,Cumulative PnL CAD,Cumulative PnL %,Duration (bars)
149,Exit long,2025-11-04 04:00,MR TP1 | IN:HYBRID | OUT:MR,1.61904,0.2,0.323476,0.0003,0.10,0,0.001,0.25,-0.0002,-0.06,-0.11,0.00,11
149,Entry long,2025-11-03 17:00,MR-L | IN:HYBRID,1.61738,0.2,0.323476,0.0003,0.10,0,0.001,0.25,-0.0002,-0.06,-0.11,0.00,11
150,Exit long,2025-11-04 21:00,RUN EXIT | IN:HYBRID | OUT:MR,1.61714,0.8,1.293904,-0.0002,-0.01,0,0.004,0.27,-0.001,-0.08,-0.11,0.00,28
150,Entry long,2025-11-03 17:00,MR-L | IN:HYBRID,1.61738,0.8,1.293904,-0.0002,-0.01,0,0.004,0.27,-0.001,-0.08,-0.11,0.00,28
151,Exit short,2025-11-06 09:00,MR FAIL | IN:MR | OUT:MR,1.62242,1,1.62133,-0.001,-0.07,0,0.001,0.04,-0.002,-0.12,-0.11,0.00,5
151,Entry short,2025-11-06 04:00,MR-S | IN:MR,1.62133,1,1.62133,-0.001,-0.07,0,0.001,0.04,-0.002,-0.12,-0.11,0.00,5
152,Exit short,2025-11-10 10:00,MR TP1 | IN:TREND | OUT:HYBRID,1.62153,0.2,0.325608,0.001,0.40,0,0.001,0.43,-0.001,-0.20,-0.11,0.00,21
152,Entry short,2025-11-07 13:00,MR-S | IN:TREND,1.62804,0.2,0.325608,0.001,0.40,0,0.001,0.43,-0.001,-0.20,-0.11,0.00,21
153,Exit short,2025-11-11 10:00,RUN EXIT | IN:TREND | OUT:MR,1.62176,0.8,1.302432,0.01,0.39,0,0.01,0.53,-0.003,-0.20,-0.11,0.00,45
153,Entry short,2025-11-07 13:00,MR-S | IN:TREND,1.62804,0.8,1.302432,0.01,0.39,0,0.01,0.53,-0.003,-0.20,-0.11,0.00,45
